pressure_mb,verticalWind_ms,AmbientTemperature_K
553.04,0.65,311.03
552.99,0.64,311.03
552.95,0.62,311.03
552.90,0.61,311.03
552.85,0.59,311.03
552.81,0.58,311.02
552.76,0.57,311.02
552.71,0.55,311.02
552.67,0.54,311.02
552.62,0.52,311.02
552.57,0.51,311.02
552.53,0.50,311.02
552.48,0.48,311.02
552.43,0.47,311.02
552.39,0.45,311.02
552.34,0.44,311.01
552.29,0.42,311.01
552.25,0.41,311.01
552.20,0.40,311.01
552.15,0.38,311.01
552.11,0.37,311.01
552.06,0.35,311.01
552.01,0.34,311.01
551.97,0.33,311.01
551.92,0.31,311.01
551.87,0.30,311.00
551.83,0.28,311.00
551.78,0.27,311.00
551.73,0.26,311.00
551.69,0.24,311.00
551.64,0.23,311.00
551.59,0.21,311.00
551.55,0.20,311.00
551.50,0.19,311.00
551.45,0.17,311.00
551.41,0.16,310.99
551.36,0.14,310.99
551.31,0.13,310.99
551.27,0.12,310.99
551.22,0.10,310.99
551.17,0.09,310.99
551.13,0.07,310.99
551.08,0.06,310.99
551.03,0.04,310.99
550.99,0.03,310.99
550.94,0.02,310.98
550.89,0.00,310.98
550.85,-0.01,310.98
550.80,-0.03,310.98
550.75,-0.04,310.98
550.70,-0.05,310.98
550.66,-0.07,310.98
550.61,-0.08,310.98
550.56,-0.10,310.98
550.52,-0.11,310.98
550.47,-0.12,310.97
550.42,-0.14,310.97
550.38,-0.15,310.97
550.33,-0.17,310.97
550.28,-0.18,310.97
550.24,-0.20,310.97
550.19,-0.21,310.97
550.14,-0.22,310.97
550.10,-0.24,310.97
550.05,-0.25,310.97
550.00,-0.27,310.96
549.96,-0.28,310.96
549.91,-0.29,310.96
549.86,-0.31,310.96
549.82,-0.32,310.96
549.77,-0.34,310.96
551.28,-0.35,311.03
551.28,-0.49,311.01
551.97,-0.78,310.98
552.66,-1.06,310.96
553.55,-0.80,311.03
551.66,-0.82,310.89
550.40,-0.68,310.81
550.27,-0.57,310.89
550.78,-0.43,310.89
552.92,-0.52,310.96
554.17,-0.42,311.07
555.43,-0.32,311.18
556.56,-0.27,311.27
557.70,-0.21,311.35
558.83,-0.16,311.44
559.96,-0.11,311.52
561.10,-0.05,311.61
562.23,0.00,311.90
564.61,-0.16,312.20
567.00,-0.32,312.49
564.49,-0.56,312.34
563.99,-0.38,312.34
566.12,-0.32,312.41
567.63,0.00,312.63
566.00,-0.88,312.41
563.23,-0.46,312.12
563.08,-0.44,312.10
562.94,-0.43,312.09
562.79,-0.41,312.07
562.65,-0.40,312.05
562.50,-0.38,312.04
562.36,-0.37,312.02
562.21,-0.35,312.00
562.07,-0.33,311.99
561.92,-0.32,311.97
561.78,-0.30,311.95
561.63,-0.29,311.94
561.48,-0.27,311.92
561.34,-0.26,311.90
561.19,-0.24,311.89
561.05,-0.22,311.87
560.90,-0.21,311.86
560.76,-0.19,311.84
560.61,-0.18,311.82
560.47,-0.16,311.81
560.32,-0.14,311.79
560.17,-0.13,311.77
560.03,-0.11,311.76
559.88,-0.10,311.74
559.74,-0.08,311.72
559.59,-0.07,311.71
559.45,-0.05,311.69
559.30,-0.03,311.67
